song ID	lyric ID	Lyrics	Word count in sentence	Total word count	English exist in sentence	Eng word count in sentence	Total Eng word count	Eng % in sentence	Eng % in whole	Spoken exist in sentence	Spoken word count in sentence	Total Spoken word count	Spoke % in sentence	Spoken % in whole	Putonghua exist in sentence
S04-1	L13	留低愛侶拋開枷鎖	Loading...	Loading...	Loading...	Loading...	Loading...	Loading...	Loading...	FALSE	0	Loading...	0%	Loading...	Loading...
S04-1	L14	餘孽太多 還何苦出錯	9	Loading...	FALSE	0	Loading...	0%	Loading...	Loading...	0	Loading...	0%	Loading...	Loading...
S04-1	L15	唯盼你故事到結局	Loading...	Loading...	Loading...	Loading...	Loading...	Loading...	Loading...	FALSE	Loading...	Loading...	Loading...	Loading...	Loading...
S04-1	L16	完美裡那美中不足	Loading...	Loading...	Loading...	Loading...	Loading...	Loading...	Loading...	Loading...	0	Loading...	0%	Loading...	Loading...
S04-1	L17	會是我	3	Loading...	FALSE	0	Loading...	0%	Loading...	Loading...	0	Loading...	0%	Loading...	Loading...
S04-1	L18	明晚 難免的難過的時間	10	Loading...	Loading...	0	Loading...	0%	Loading...	Loading...	Loading...	Loading...	Loading...	Loading...	FALSE
S04-1	L19	沒我呵 若你不習慣	Loading...	Loading...	FALSE	Loading...	Loading...	Loading...	Loading...	Loading...	0	Loading...	0%	Loading...	FALSE
S04-1	L20	下了班就與他歸家 吃晚飯	11	Loading...	Loading...	0	Loading...	0%	Loading...	FALSE	Loading...	Loading...	Loading...	Loading...	Loading...
S04-1	L21	情話很冷 愈對感覺愈淡	Loading...	Loading...	FALSE	Loading...	Loading...	Loading...	Loading...	Loading...	Loading...	Loading...	Loading...	Loading...	Loading...
S04-1	L22	萬千怨偶共處的悲歎	Loading...	Loading...	Loading...	Loading...	Loading...	Loading...	Loading...	Loading...	0	Loading...	0%	Loading...	Loading...
S04-1	L23	接受平淡 誰人{{有得揀}}	9	Loading...	Loading...	0	Loading...	0%	Loading...	TRUE	Loading...	Loading...	Loading...	Loading...	FALSE
S04-1	L24	溫馨過 總好過長住雪山	Loading...	Loading...	Loading...	Loading...	Loading...	Loading...	Loading...	FALSE	Loading...	Loading...	Loading...	Loading...	Loading...
S04-1	L25	願你先撇下我	6	Loading...	FALSE	0	Loading...	0%	Loading...	FALSE	Loading...	Loading...	Loading...	Loading...	Loading...
S04-1	L26	未到結束便離座	7	Loading...	Loading...	0	Loading...	0%	Loading...	Loading...	Loading...	Loading...	Loading...	Loading...	Loading...
S04-1	L27	留低最燦爛的花火	Loading...	Loading...	FALSE	Loading...	Loading...	Loading...	Loading...	Loading...	0	Loading...	0%	Loading...	Loading...
S04-1	L28	來日你安穩的共兒孫看著銀河	Loading...	Loading...	Loading...	Loading...	Loading...	Loading...	Loading...	FALSE	Loading...	Loading...	Loading...	Loading...	Loading...
S04-1	L29	萬天的星火	5	Loading...	Loading...	0	Loading...	0%	Loading...	Loading...	Loading...	Loading...	Loading...	Loading...	FALSE
S04-1	L30	想得起我麼	5	Loading...	FALSE	0	Loading...	0%	Loading...	Loading...	Loading...	Loading...	Loading...	Loading...	Loading...
S04-1	L31	下半生各自過	6	Loading...	FALSE	0	Loading...	0%	Loading...	FALSE	0	Loading...	0%	Loading...	Loading...
S04-1	L32	停在記憶外留座	7	Loading...	FALSE	0	Loading...	0%	Loading...	Loading...	Loading...	Loading...	Loading...	Loading...	Loading...
S04-1	L33	懷中有過盛開花朵	8	Loading...	Loading...	0	Loading...	0%	Loading...	FALSE	Loading...	Loading...	Loading...	Loading...	Loading...
S04-1	L34	除掉結果 其餘得到過	Loading...	Loading...	Loading...	Loading...	Loading...	Loading...	Loading...	FALSE	0	Loading...	0%	Loading...	Loading...
S04-1	L35	期盼你故事到結局	8	Loading...	Loading...	0	Loading...	0%	Loading...	Loading...	0	Loading...	0%	Loading...	Loading...
S04-1	L36	常記掛那美中不足	8	Loading...	Loading...	0	Loading...	0%	Loading...	Loading...	Loading...	Loading...	Loading...	Loading...	FALSE
S04-1	L37	會是我	3	Loading...	FALSE	0	Loading...	0%	Loading...	Loading...	0	Loading...	0%	Loading...	Loading...
S04-1	L38	願你先撇下我	Loading...	Loading...	Loading...	Loading...	Loading...	Loading...	Loading...	FALSE	0	Loading...	0%	Loading...	FALSE
S04-1	L39	未到結束便離座	Loading...	Loading...	FALSE	Loading...	Loading...	Loading...	Loading...	Loading...	0	Loading...	0%	Loading...	Loading...
S04-1	L40	留低最燦爛的花火	8	Loading...	Loading...	0	Loading...	0%	Loading...	FALSE	0	Loading...	0%	Loading...	FALSE
S04-1	L41	來日你安穩的共兒孫看著銀河	Loading...	Loading...	Loading...	Loading...	Loading...	Loading...	Loading...	Loading...	Loading...	Loading...	Loading...	Loading...	Loading...
S04-1	L42	萬天的星火	5	Loading...	Loading...	0	Loading...	0%	Loading...	FALSE	Loading...	Loading...	Loading...	Loading...	Loading...
S04-1	L43	想得起我麼	5	Loading...	FALSE	0	Loading...	0%	Loading...	Loading...	0	Loading...	0%	Loading...	Loading...
S04-1	L44	下半生各自過	Loading...	Loading...	Loading...	Loading...	Loading...	Loading...	Loading...	FALSE	Loading...	Loading...	Loading...	Loading...	FALSE
S04-1	L45	停在記憶外留座	Loading...	Loading...	FALSE	Loading...	Loading...	Loading...	Loading...	FALSE	0	Loading...	0%	Loading...	Loading...
S04-1	L46	懷中有過盛開花朵	Loading...	Loading...	FALSE	Loading...	Loading...	Loading...	Loading...	FALSE	Loading...	Loading...	Loading...	Loading...	FALSE
S04-1	L47	除掉結果	4	Loading...	Loading...	0	Loading...	0%	Loading...	FALSE	Loading...	Loading...	Loading...	Loading...	FALSE
S04-1	L48	其餘得到過	5	Loading...	FALSE	0	Loading...	0%	Loading...	FALSE	Loading...	Loading...	Loading...	Loading...	FALSE
S04-1	L49	期盼你故事到結局	Loading...	Loading...	Loading...	Loading...	Loading...	Loading...	Loading...	Loading...	0	Loading...	0%	Loading...	Loading...
S04-1	L50	常記掛那美中不足	8	Loading...	FALSE	0	Loading...	0%	Loading...	FALSE	Loading...	Loading...	Loading...	Loading...	Loading...
S04-1	L51	會是我	Loading...	Loading...	FALSE	Loading...	Loading...	Loading...	Loading...	Loading...	0	Loading...	0%	Loading...	Loading...
S04-2	L01	青春彷彿因我愛你開始	10	Loading...	Loading...	0	Loading...	0%	Loading...	FALSE	Loading...	Loading...	Loading...	Loading...	Loading...
S04-2	L02	但卻令我看破愛這個字	10	Loading...	Loading...	0	Loading...	0%	Loading...	FALSE	Loading...	Loading...	Loading...	Loading...	FALSE
S04-2	L03	自你患上失憶 便是我扭轉命數的事	Loading...	Loading...	Loading...	Loading...	Loading...	Loading...	Loading...	FALSE	Loading...	Loading...	Loading...	Loading...	FALSE
S04-2	L04	只因當失憶症發作加深	Loading...	Loading...	Loading...	Loading...	Loading...	Loading...	Loading...	FALSE	Loading...	Loading...	Loading...	Loading...	Loading...
S04-2	L05	沒記住我但卻另有更新蜜運	Loading...	Loading...	Loading...	Loading...	Loading...	Loading...	Loading...	Loading...	Loading...	Loading...	Loading...	Loading...	FALSE
S04-2	L06	像狐狸精般 並未允許我步近	12	Loading...	Loading...	0	Loading...	0%	Loading...	FALSE	Loading...	Loading...	Loading...	Loading...	Loading...
S04-2	L07	無回憶的餘生 忘掉往日情人	Loading...	Loading...	FALSE	Loading...	Loading...	Loading...	Loading...	FALSE	Loading...	Loading...	Loading...	Loading...	Loading...
S04-2	L08	卻又記住移情別愛的命運	Loading...	Loading...	Loading...	Loading...	Loading...	Loading...	Loading...	Loading...	Loading...	Loading...	Loading...	Loading...	Loading...
S04-2	L09	無回憶的男人 就當偷厄與瞞騙	Loading...	Loading...	FALSE	Loading...	Loading...	Loading...	Loading...	FALSE	0	Loading...	0%	Loading...	Loading...
S04-2	L10	抱抱我不過份	Loading...	Loading...	Loading...	Loading...	Loading...	Loading...	Loading...	FALSE	Loading...	Loading...	Loading...	Loading...	Loading...
S04-2	L11	吻下來 豁出去 這吻別似覆水	Loading...	Loading...	FALSE	Loading...	Loading...	Loading...	Loading...	FALSE	Loading...	Loading...	Loading...	Loading...	Loading...
S04-2	L12	再來也許要天上團聚	9	Loading...	Loading...	0	Loading...	0%	Loading...	Loading...	Loading...	Loading...	Loading...	Loading...	Loading...
S04-2	L13	再回頭 你不許 如曾經不登對	Loading...	Loading...	FALSE	Loading...	Loading...	Loading...	Loading...	FALSE	Loading...	Loading...	Loading...	Loading...	Loading...
S04-2	L14	你何以雙眼好像流淚	9	Loading...	Loading...	0	Loading...	0%	Loading...	Loading...	0	Loading...	0%	Loading...	Loading...
S04-2	L15	彼此追憶不怕愛要終止	Loading...	Loading...	FALSE	Loading...	Loading...	Loading...	Loading...	Loading...	Loading...	Loading...	Loading...	Loading...	Loading...
S04-2	L16	但我大概上世做過太多壞事	12	Loading...	Loading...	0	Loading...	0%	Loading...	Loading...	Loading...	Loading...	Loading...	Loading...	Loading...
S04-2	L17	能從頭開始 跪在教堂說願意	Loading...	Loading...	Loading...	Loading...	Loading...	Loading...	Loading...	Loading...	0	Loading...	0%	Loading...	FALSE
S04-2	L18	娛樂行的人影 還在繼續繁榮	Loading...	Loading...	Loading...	Loading...	Loading...	Loading...	Loading...	FALSE	Loading...	Loading...	Loading...	Loading...	Loading...
S04-2	L19	我在算著甜言蜜語的壽命	11	Loading...	FALSE	0	Loading...	0%	Loading...	Loading...	0	Loading...	0%	Loading...	Loading...
S04-2	L20	人造的蠢衛星 沒探測出我們已	Loading...	Loading...	Loading...	Loading...	Loading...	Loading...	Loading...	FALSE	0	Loading...	0%	Loading...	Loading...
S04-2	L21	已再見不再認	Loading...	Loading...	Loading...	Loading...	Loading...	Loading...	Loading...	Loading...	0	Loading...	0%	Loading...	FALSE
S04-2	L22	吻下來 豁出去 這吻別似覆水	Loading...	Loading...	FALSE	Loading...	Loading...	Loading...	Loading...	Loading...	0	Loading...	0%	Loading...	Loading...
S04-2	L23	再來也許要天上團聚	9	Loading...	FALSE	0	Loading...	0%	Loading...	Loading...	Loading...	Loading...	Loading...	Loading...	FALSE
S04-2	L24	我下來 你出去 {{講再會}}也心虛	Loading...	Loading...	Loading...	Loading...	Loading...	Loading...	Loading...	Loading...	3	Loading...	Loading...	Loading...	Loading...
S04-2	L25	我還記得到天上團聚	9	Loading...	Loading...	0	Loading...	0%	Loading...	Loading...	Loading...	Loading...	Loading...	Loading...	Loading...
S04-2	L26	吻下來 豁出去 從前多麼登對	Loading...	Loading...	Loading...	Loading...	Loading...	Loading...	Loading...	FALSE	0	Loading...	0%	Loading...	Loading...
S04-2	L27	你何以雙眼好像流淚	9	Loading...	FALSE	0	Loading...	0%	Loading...	Loading...	Loading...	Loading...	Loading...	Loading...	Loading...
S04-2	L28	每年這天記得再流淚	Loading...	Loading...	Loading...	Loading...	Loading...	Loading...	Loading...	FALSE	Loading...	Loading...	Loading...	Loading...	Loading...
S04-3	L01	磨練飛天絕技 從沒丁點乏味	Loading...	Loading...	FALSE	Loading...	Loading...	Loading...	Loading...	FALSE	Loading...	Loading...	Loading...	Loading...	Loading...
S04-3	L02	因可與你 天天的去飛	Loading...	Loading...	Loading...	Loading...	Loading...	Loading...	Loading...	Loading...	Loading...	Loading...	Loading...	Loading...	FALSE
S04-3	L03	嘗盡失手墮地 還被貶當後備	Loading...	Loading...	FALSE	Loading...	Loading...	Loading...	Loading...	Loading...	Loading...	Loading...	Loading...	Loading...	FALSE
S04-3	L04	只得{{我肯}} 陪著你學飛不怕死	12	Loading...	Loading...	0	Loading...	0%	Loading...	Loading...	2	Loading...	16.67%	Loading...	Loading...
S04-3	L05	秋千上{{捉得緊你}}	7	Loading...	Loading...	0	Loading...	0%	Loading...	TRUE	Loading...	Loading...	Loading...	Loading...	Loading...
S04-3	L06	真實裡從無辦法遠飛	Loading...	Loading...	Loading...	Loading...	Loading...	Loading...	Loading...	FALSE	0	Loading...	0%	Loading...	Loading...
S04-3	L07	最後總失之交臂	Loading...	Loading...	FALSE	Loading...	Loading...	Loading...	Loading...	Loading...	Loading...	Loading...	Loading...	Loading...	Loading...
S04-3	L08	為何日夜 浪漫對你	8	Loading...	Loading...	0	Loading...	0%	Loading...	FALSE	Loading...	Loading...	Loading...	Loading...	FALSE
S04-3	L09	仍然像逗拍擋歡喜	8	Loading...	FALSE	0	Loading...	0%	Loading...	FALSE	0	Loading...	0%	Loading...	Loading...
S04-3	L10	從來分開兩面高梯	8	Loading...	Loading...	0	Loading...	0%	Loading...	Loading...	0	Loading...	0%	Loading...	Loading...
S04-3	L11	隔著你我不止二十米	Loading...	Loading...	Loading...	Loading...	Loading...	Loading...	Loading...	FALSE	Loading...	Loading...	Loading...	Loading...	Loading...
S04-3	L12	熟練的開始手勢	7	Loading...	FALSE	0	Loading...	0%	Loading...	FALSE	Loading...	Loading...	Loading...	Loading...	Loading...
S04-3	L13	我墮向你接觸範圍	Loading...	Loading...	Loading...	Loading...	Loading...	Loading...	Loading...	Loading...	Loading...	Loading...	Loading...	Loading...	Loading...
S04-3	L14	來回空中跌盪高低	8	Loading...	FALSE	0	Loading...	0%	Loading...	Loading...	Loading...	Loading...	Loading...	Loading...	Loading...
S04-3	L15	我扶助你擺出各樣姿勢	10	Loading...	FALSE	0	Loading...	0%	Loading...	Loading...	0	Loading...	0%	Loading...	FALSE
S04-3	L16	節目完 燈漸細	Loading...	Loading...	Loading...	Loading...	Loading...	Loading...	Loading...	Loading...	Loading...	Loading...	Loading...	Loading...	Loading...
S04-3	L17	沒緣份卻只得默契	8	Loading...	Loading...	0	Loading...	0%	Loading...	FALSE	0	Loading...	0%	Loading...	FALSE
S04-3	L18	嘗盡失手墮地 還被貶當後備	Loading...	Loading...	FALSE	Loading...	Loading...	Loading...	Loading...	Loading...	Loading...	Loading...	Loading...	Loading...	Loading...
S04-3	L19	只得{{我肯}} 陪著你學飛不怕死	Loading...	Loading...	Loading...	Loading...	Loading...	Loading...	Loading...	TRUE	Loading...	Loading...	Loading...	Loading...	Loading...
S04-3	L20	秋千上{{捉得緊你}}	Loading...	Loading...	Loading...	Loading...	Loading...	Loading...	Loading...	TRUE	4	Loading...	Loading...	Loading...	Loading...
S04-3	L21	真實裡從無辦法遠飛	9	Loading...	Loading...	0	Loading...	0%	Loading...	Loading...	0	Loading...	0%	Loading...	FALSE
S04-3	L22	最後總失之交臂	7	Loading...	Loading...	0	Loading...	0%	Loading...	FALSE	0	Loading...	0%	Loading...	Loading...
S04-3	L23	為何日夜 浪漫對你	8	Loading...	Loading...	0	Loading...	0%	Loading...	Loading...	Loading...	Loading...	Loading...	Loading...	Loading...
S04-3	L24	仍然像逗拍擋歡喜	8	Loading...	Loading...	0	Loading...	0%	Loading...	Loading...	Loading...	Loading...	Loading...	Loading...	Loading...
S04-3	L25	從來分開兩面高梯	Loading...	Loading...	Loading...	Loading...	Loading...	Loading...	Loading...	Loading...	Loading...	Loading...	Loading...	Loading...	Loading...
S04-3	L26	隔著你我不止二十米	Loading...	Loading...	Loading...	Loading...	Loading...	Loading...	Loading...	Loading...	0	Loading...	0%	Loading...	Loading...
S04-3	L27	熟練的開始手勢	Loading...	Loading...	Loading...	Loading...	Loading...	Loading...	Loading...	FALSE	Loading...	Loading...	Loading...	Loading...	Loading...
S04-3	L28	我墮向你接觸範圍	8	Loading...	FALSE	0	Loading...	0%	Loading...	Loading...	Loading...	Loading...	Loading...	Loading...	Loading...
S04-3	L29	來回空中跌盪高低	Loading...	Loading...	Loading...	Loading...	Loading...	Loading...	Loading...	FALSE	Loading...	Loading...	Loading...	Loading...	FALSE
S04-3	L30	我扶助你擺出各樣姿勢	Loading...	Loading...	FALSE	Loading...	Loading...	Loading...	Loading...	FALSE	Loading...	Loading...	Loading...	Loading...	Loading...
S04-3	L31	節目完 燈漸細	6	Loading...	FALSE	0	Loading...	0%	Loading...	Loading...	Loading...	Loading...	Loading...	Loading...	Loading...
S04-3	L32	沒緣份卻只得默契	8	Loading...	Loading...	0	Loading...	0%	Loading...	Loading...	Loading...	Loading...	Loading...	Loading...	FALSE
S04-3	L33	從來不可抱著身體	Loading...	Loading...	Loading...	Loading...	Loading...	Loading...	Loading...	Loading...	0	Loading...	0%	Loading...	FALSE
S04-3	L34	似接近半秒便放開一切	10	Loading...	FALSE	0	Loading...	0%	Loading...	Loading...	0	Loading...	0%	Loading...	Loading...
S04-3	L35	願付出一生一世 用來襯托你的美麗	15	Loading...	FALSE	0	Loading...	0%	Loading...	FALSE	0	Loading...	0%	Loading...	Loading...
S04-3	L36	來回空中跌盪高低	8	Loading...	Loading...	0	Loading...	0%	Loading...	FALSE	0	Loading...	0%	Loading...	FALSE
S04-3	L37	我扶助你空翻上落無限制	11	Loading...	FALSE	0	Loading...	0%	Loading...	Loading...	0	Loading...	0%	Loading...	FALSE
S04-3	L38	心血沒有一點的白費	Loading...	Loading...	FALSE	Loading...	Loading...	Loading...	Loading...	FALSE	0	Loading...	0%	Loading...	Loading...
S04-3	L39	換來是你謝幕那刻光輝	10	Loading...	FALSE	0	Loading...	0%	Loading...	Loading...	0	Loading...	0%	Loading...	FALSE
S04-3	L40	只怕在某天會給取替	Loading...	Loading...	Loading...	Loading...	Loading...	Loading...	Loading...	FALSE	Loading...	Loading...	Loading...	Loading...	FALSE
S04-3	L41	刻意逃避 被你望見這傷勢	Loading...	Loading...	FALSE	Loading...	Loading...	Loading...	Loading...	Loading...	Loading...	Loading...	Loading...	Loading...	FALSE
S04-4	L1	看你背面我身體欠自然	10	Loading...	FALSE	0	Loading...	0%	Loading...	Loading...	Loading...	Loading...	Loading...	Loading...	FALSE
S04-4	L2	看你正面兩手失控在顫	10	Loading...	FALSE	0	Loading...	0%	Loading...	Loading...	0	Loading...	0%	Loading...	FALSE
S04-4	L3	看你笑臉我開心數夜數天	Loading...	Loading...	Loading...	Loading...	Loading...	Loading...	Loading...	Loading...	Loading...	Loading...	Loading...	Loading...	FALSE
S04-4	L4	與你說話我啞口會無言	Loading...	Loading...	FALSE	Loading...	Loading...	Loading...	Loading...	Loading...	0	Loading...	0%	Loading...	Loading...
S04-4	L5	與你碰面我體溫會亂變	Loading...	Loading...	Loading...	Loading...	Loading...	Loading...	Loading...	FALSE	0	Loading...	0%	Loading...	Loading...
S04-4	L6	與你貼面一世的經典	9	Loading...	Loading...	0	Loading...	0%	Loading...	Loading...	0	Loading...	0%	Loading...	FALSE
S04-4	L7	若你肯再擁抱緊一點	Loading...	Loading...	Loading...	Loading...	Loading...	Loading...	Loading...	Loading...	0	Loading...	0%	Loading...	FALSE
S04-4	L8	我願意用我十年	7	Loading...	FALSE	0	Loading...	0%	Loading...	Loading...	Loading...	Loading...	Loading...	Loading...	Loading...
S04-4	L9	去換我共你十天 ooh	Loading...	Loading...	FALSE	Loading...	Loading...	Loading...	Loading...	Loading...	Loading...	Loading...	Loading...	Loading...	Loading...
S04-4	L10	要講你知你的意義	Loading...	Loading...	Loading...	Loading...	Loading...	Loading...	Loading...	FALSE	Loading...	Loading...	Loading...	Loading...	Loading...
S04-4	L11	每當我的心肝跳一次	Loading...	Loading...	Loading...	Loading...	Loading...	Loading...	Loading...	FALSE	0	Loading...	0%	Loading...	Loading...
S04-4	L12	沒法子難制止	6	Loading...	FALSE	0	Loading...	0%	Loading...	Loading...	Loading...	Loading...	Loading...	Loading...	FALSE
S04-4	L13	你是血液滲於我每一處	Loading...	Loading...	Loading...	Loading...	Loading...	Loading...	Loading...	FALSE	Loading...	Loading...	Loading...	Loading...	Loading...
S04-4	L14	要{{講你知}}我的故事	8	Loading...	Loading...	0	Loading...	0%	Loading...	TRUE	Loading...	Loading...	Loading...	Loading...	FALSE
S04-4	L15	這一秒即使心再不跳	Loading...	Loading...	Loading...	Loading...	Loading...	Loading...	Loading...	Loading...	Loading...	Loading...	Loading...	Loading...	FALSE
S04-4	L16	在記憶潛意識	6	Loading...	Loading...	0	Loading...	0%	Loading...	Loading...	Loading...	Loading...	Loading...	Loading...	Loading...
S04-4	L17	愛是已在心中永世不變	Loading...	Loading...	Loading...	Loading...	Loading...	Loading...	Loading...	FALSE	Loading...	Loading...	Loading...	Loading...	FALSE
S04-4	L18	與你說話我啞口會無言	10	Loading...	FALSE	0	Loading...	0%	Loading...	Loading...	Loading...	Loading...	Loading...	Loading...	Loading...
S04-4	L19	與你碰面我體溫會亂變	10	Loading...	Loading...	0	Loading...	0%	Loading...	FALSE	Loading...	Loading...	Loading...	Loading...	Loading...
S04-4	L20	與你貼面一世的經典	Loading...	Loading...	FALSE	Loading...	Loading...	Loading...	Loading...	FALSE	Loading...	Loading...	Loading...	Loading...	Loading...
S04-4	L21	若{{你肯}}再擁抱緊一點	Loading...	Loading...	Loading...	Loading...	Loading...	Loading...	Loading...	Loading...	Loading...	Loading...	Loading...	Loading...	Loading...
S04-4	L22	我願意用我十年	7	Loading...	FALSE	0	Loading...	0%	Loading...	Loading...	Loading...	Loading...	Loading...	Loading...	Loading...
S04-4	L23	去換我共你十天 ooh	7	Loading...	FALSE	0	Loading...	0%	Loading...	FALSE	Loading...	Loading...	Loading...	Loading...	Loading...
S04-4	L24	要{{講你知}}你的意義	Loading...	Loading...	FALSE	Loading...	Loading...	Loading...	Loading...	Loading...	3	Loading...	Loading...	Loading...	FALSE
S04-4	L25	每當我的心肝跳一次	Loading...	Loading...	Loading...	Loading...	Loading...	Loading...	Loading...	FALSE	Loading...	Loading...	Loading...	Loading...	Loading...
S04-4	L26	沒法子難制止	6	Loading...	FALSE	0	Loading...	0%	Loading...	Loading...	Loading...	Loading...	Loading...	Loading...	Loading...
S04-4	L27	你是血液滲於我每一處	10	Loading...	FALSE	0	Loading...	0%	Loading...	Loading...	Loading...	Loading...	Loading...	Loading...	Loading...
S04-4	L28	要講你知我的故事	8	Loading...	Loading...	0	Loading...	0%	Loading...	Loading...	Loading...	Loading...	Loading...	Loading...	Loading...
S04-4	L29	這一秒即使心再不跳	Loading...	Loading...	Loading...	Loading...	Loading...	Loading...	Loading...	FALSE	0	Loading...	0%	Loading...	FALSE
S04-4	L30	在記憶潛意識	Loading...	Loading...	FALSE	Loading...	Loading...	Loading...	Loading...	Loading...	0	Loading...	0%	Loading...	Loading...
S04-4	L31	愛是已在心中永世不變	Loading...	Loading...	FALSE	Loading...	Loading...	Loading...	Loading...	FALSE	Loading...	Loading...	Loading...	Loading...	Loading...
S04-4	L32	光陰可以瞬間轉數十年	10	Loading...	FALSE	0	Loading...	0%	Loading...	Loading...	Loading...	Loading...	Loading...	Loading...	FALSE
S04-4	L33	生死起跌也知不會倖免	Loading...	Loading...	Loading...	Loading...	Loading...	Loading...	Loading...	FALSE	0	Loading...	0%	Loading...	FALSE
S04-4	L34	當中只有愛的感覺未曾變	Loading...	Loading...	FALSE	Loading...	Loading...	Loading...	Loading...	Loading...	0	Loading...	0%	Loading...	Loading...
S04-5	L1	A 父母不相愛了	Loading...	Loading...	FALSE	Loading...	Loading...	Loading...	Loading...	Loading...	0	Loading...	0%	Loading...	Loading...
S04-5	L2	家變了 難避免捲入狂潮	Loading...	Loading...	FALSE	Loading...	Loading...	Loading...	Loading...	Loading...	Loading...	Loading...	Loading...	Loading...	Loading...
S04-5	L3	B 被顧嘉輝的歌	6	Loading...	Loading...	0	Loading...	0%	Loading...	Loading...	0	Loading...	0%	Loading...	FALSE
S04-5	L4	感染了 凡事要投入發燒	Loading...	Loading...	FALSE	Loading...	Loading...	Loading...	Loading...	FALSE	Loading...	Loading...	Loading...	Loading...	Loading...
S04-5	L5	A 大概都不敢想	6	Loading...	Loading...	0	Loading...	0%	Loading...	FALSE	0	Loading...	0%	Loading...	Loading...
S04-5	L6	她半世 如像套翡翠劇場	10	Loading...	Loading...	0	Loading...	0%	Loading...	FALSE	0	Loading...	0%	Loading...	Loading...
S04-5	L7	B 街中心獻唱	5	Loading...	FALSE	0	Loading...	0%	Loading...	FALSE	0	Loading...	0%	Loading...	FALSE
S04-5	L8	演配角 仍舊要贏盡讚賞	Loading...	Loading...	FALSE	Loading...	Loading...	Loading...	Loading...	Loading...	Loading...	Loading...	Loading...	Loading...	FALSE
S04-5	L9	用無敵旋律開餐 用肥皂長劇送飯	14	Loading...	Loading...	0	Loading...	0%	Loading...	Loading...	Loading...	Loading...	Loading...	Loading...	Loading...
S04-5	L10	僭建這世界 替那恩怨聚散拍板	Loading...	Loading...	Loading...	Loading...	Loading...	Loading...	Loading...	Loading...	Loading...	Loading...	Loading...	Loading...	Loading...
S04-5	L11	總有三角戀一番 總有子女去爭產	Loading...	Loading...	Loading...	Loading...	Loading...	Loading...	Loading...	FALSE	Loading...	Loading...	Loading...	Loading...	Loading...
S04-5	L12	每晚有 剎那生老病 急轉彎	Loading...	Loading...	Loading...	Loading...	Loading...	Loading...	Loading...	Loading...	Loading...	Loading...	Loading...	Loading...	FALSE
S04-5	L13	A 成為絕代強人	6	Loading...	FALSE	0	Loading...	0%	Loading...	Loading...	0	Loading...	0%	Loading...	FALSE
S04-5	L14	她奮鬥 全為了倣效洛琳	Loading...	Loading...	FALSE	Loading...	Loading...	Loading...	Loading...	FALSE	0	Loading...	0%	Loading...	Loading...
S04-5	L15	B 在戲中演新婚	Loading...	Loading...	Loading...	Loading...	Loading...	Loading...	Loading...	FALSE	Loading...	Loading...	Loading...	Loading...	FALSE
S04-5	L16	C 每一天改編了一生	8	Loading...	FALSE	0	Loading...	0%	Loading...	Loading...	0	Loading...	0%	Loading...	Loading...
